# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
40.7357609; -3.4585484; 5.9957336; 2.2007223; 0.0677315; 5.3648669; -0.8515111
40.9354461; -3.6187950; 5.8771678; 2.2152052; 0.0774386; 5.3330788; -0.9385326
41.1351312; -3.7777145; 5.7557981; 2.2309043; 0.0795559; 5.2978210; -0.9329857
41.3348163; -3.9344616; 5.6320936; 2.2469997; 0.0817272; 5.2625374; -0.9113703
41.5345014; -4.0889740; 5.5060089; 2.2635306; 0.0835323; 5.2278414; -0.6379104
41.7341865; -4.2417646; 5.3770995; 2.2794525; 0.0757251; 5.2034185; -2.3668481
41.9338716; -4.3924642; 5.2459968; 2.2938554; 0.0689533; 5.1117820; -3.4874496
42.1335567; -4.5411341; 5.1130205; 2.3070216; 0.0643535; 4.9736839; -3.4019381
42.3332418; -4.6882794; 4.9779037; 2.3203452; 0.0690252; 4.8351731; -3.3216267
42.5329269; -4.8334993; 4.8408213; 2.3345302; 0.0727473; 4.6959919; -3.2390808
42.7326120; -4.9765806; 4.7017752; 2.3493725; 0.0765443; 4.5561769; -3.1614421
42.9322971; -5.1176101; 4.5604633; 2.3651924; 0.0818006; 4.4154458; -3.0897110
43.1319822; -5.2561937; 4.4169754; 2.3822205; 0.0891260; 4.2734323; -3.0079914
43.3316673; -5.3922060; 4.2710492; 2.4007294; 0.0971700; 4.1304868; -2.9243382
43.5313524; -5.5257476; 4.1220796; 2.4210551; 0.1056712; 3.9866061; -2.8563106
43.7310375; -5.6553143; 3.9711852; 2.4436278; 0.1205846; 3.8408726; -2.7675391
43.9307226; -5.7815320; 3.8168667; 2.4687758; 0.1310427; 3.6941887; -2.6757113
44.1304077; -5.9044930; 3.6582308; 2.4959125; 0.1389151; 3.5466083; -2.6083875
44.3300928; -6.0219673; 3.4976929; 2.5240000; 0.1440244; 3.3965745; -2.5279246
44.5297779; -6.1354839; 3.3328001; 2.5536526; 0.1530375; 3.2445555; -2.4457754
44.7294630; -6.2437524; 3.1647145; 2.5854971; 0.1661165; 3.0903674; -2.3848049
44.9291481; -6.3463958; 2.9930560; 2.6204867; 0.1846688; 2.9322262; -2.2769664
45.1288332; -6.4425763; 2.8177874; 2.6597384; 0.2096028; 2.7728321; -2.1723240
45.3285183; -6.5311749; 2.6388996; 2.7048698; 0.2440214; 2.6117114; -2.0305442
45.5282034; -6.6112962; 2.4549405; 2.7584354; 0.2929661; 2.4515501; -1.9128360
45.7278885; -6.6800021; 2.2678285; 2.8230299; 0.3538583; 2.2904515; -1.8221013
45.9275736; -6.7353678; 2.0762084; 2.8998205; 0.4206394; 2.1256705; -2.1227409
46.1272587; -6.7746383; 1.8788477; 2.9939089; 0.5221510; 1.9159112; -2.3722124
46.3269438; -6.7928065; 1.6796868; 3.1108811; 0.6261464; 1.6502499; -2.4637020
46.5266289; -6.7858934; 1.4807418; -3.0346680; 0.8951773; 1.3188614; -1.6217612
46.7263140; -6.7403897; 1.2875534; -2.7482447; 1.8314784; 1.0448504; 1.6208913
46.9259991; -6.6329637; 1.1179069; -2.4147415; 1.5439366; 1.3187297; 1.8824517
47.1256842; -6.4862999; 0.9877128; -2.2269381; 0.0578612; 1.5782405; 2.8612696
47.3253693; -6.3346316; 0.8654069; -2.2692358; -0.0361506; 1.9061870; 2.3662158
47.5250544; -6.1812144; 0.7395003; -2.2375116; 0.2634321; 2.1397535; 2.0793885
47.7247395; -6.0201878; 0.6201172; -2.1788963; 0.2983853; 2.3257237; 1.9806589
47.9244246; -5.8510982; 0.5097805; -2.1192557; 0.2865416; 2.4899813; 1.8925231
48.1241097; -5.6772511; 0.4100586; -2.0647696; 0.2610666; 2.6373897; 1.7593274
48.3237949; -5.5004065; 0.3204593; -2.0157373; 0.2331825; 2.7673900; 1.7237824
48.5234800; -5.3169490; 0.2380522; -1.9709167; 0.2108679; 2.8890958; 1.6413811
48.7231651; -5.1312603; 0.1639162; -1.9311267; 0.1887762; 3.0003989; 1.5915045
48.9228502; -4.9433256; 0.0969829; -1.8954995; 0.1673553; 3.1045117; 1.5978168
49.1225353; -4.7518772; 0.0359633; -1.8637984; 0.1488817; 3.2056377; 1.5707817
49.3222204; -4.5604458; -0.0188481; -1.8361707; 0.1292778; 3.3020352; 1.6017686
49.5219055; -4.3665834; -0.0689688; -1.8119693; 0.1125878; 3.3975190; 1.6121665
49.7215906; -4.1721117; -0.1145965; -1.7910434; 0.0972713; 3.4909865; 1.6345050
49.9212757; -3.9763919; -0.1565166; -1.7730551; 0.0819847; 3.5832610; 1.6608935
50.1209608; -3.7807451; -0.1950782; -1.7582588; 0.0665204; 3.6746524; 1.6790903
50.3206459; -3.5836687; -0.2311577; -1.7456157; 0.0611301; 3.7647907; 1.7107332
50.5203310; -3.3874233; -0.2646149; -1.7338315; 0.0573899; 3.8544604; 1.7244061
50.7200161; -3.1898118; -0.2959759; -1.7226331; 0.0544696; 3.9427835; 1.7448058
50.9197012; -2.9923419; -0.3251158; -1.7120902; 0.0510837; 4.0301818; 1.7634638
51.1193863; -2.7948928; -0.3522013; -1.7022820; 0.0472770; 4.1166297; 1.7633249
51.3190714; -2.5964126; -0.3775173; -1.6931369; 0.0442329; 4.2012926; 1.7807942
51.5187565; -2.3984332; -0.4009948; -1.6846252; 0.0412575; 4.2850969; 1.7800101
51.7184416; -2.1999074; -0.4228800; -1.6766471; 0.0385861; 4.3672575; 1.7786403
51.9181267; -2.0011536; -0.4432403; -1.6691911; 0.0361787; 4.4478393; 1.7877493
52.1178118; -1.8027079; -0.4621227; -1.6622123; 0.0338671; 4.5273887; 1.7704426
52.3174969; -1.6036092; -0.4797080; -1.6556373; 0.0318918; 4.6048138; 1.7671833
52.5171820; -1.4046026; -0.4960079; -1.6494645; 0.0300370; 4.6808194; 1.7683960
52.7168671; -1.2057503; -0.5110961; -1.6436504; 0.0282638; 4.7556614; 1.7382712
52.9165522; -1.0063924; -0.5250899; -1.6381519; 0.0267403; 4.8280979; 1.7316486
53.1162373; -0.8071787; -0.5380048; -1.6329668; 0.0252726; 4.8991936; 1.7259418
53.3159224; -0.6079841; -0.5499099; -1.6280635; 0.0238533; 4.9690429; 1.6863430
53.5156075; -0.4085433; -0.5608769; -1.6234439; 0.0223871; 5.0363541; 0.8410338
53.7152926; -0.2091883; -0.5709459; -1.6191341; 0.0207262; 5.0695904; 2.4994960
53.9149777; -0.0097019; -0.5801947; -1.6151808; 0.0188487; 5.1671047; 1.6184687
